fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,tmed,tmin,horatmin,tmax,horatmax
2017-07-17,0201D,BARCELONA,BARCELONA,6,"0,0",11.0,"3,9","6,4",Varias,"26,0","23,5",04:50,"28,4",15:40
2017-07-18,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,9","9,2",13:00,"25,7","23,2",04:40,"28,2",10:20
2017-07-19,0201D,BARCELONA,BARCELONA,6,"0,0",12.0,"4,2","8,9",10:40,"26,2","24,2",04:30,"28,3",14:30
2017-07-20,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"8,1","14,4",08:40,"25,1","23,8",23:59,"26,4",07:40
2017-07-21,0201D,BARCELONA,BARCELONA,6,"0,0",10.0,"2,8","7,5",00:10,"25,8","23,2",03:30,"28,5",10:00
2017-07-22,0201D,BARCELONA,BARCELONA,6,"0,0",99.0,"3,6","7,8",16:50,"25,0","22,5",05:00,"27,5",11:50
2017-07-23,0201D,BARCELONA,BARCELONA,6,"3,2",23.0,"2,5","11,1",17:10,"25,0","22,0",23:59,"27,9",08:40
2017-07-24,0201D,BARCELONA,BARCELONA,6,"0,0",13.0,"3,9","11,7",14:00,"24,3","21,1",04:00,"27,5",13:00
2017-07-25,0201D,BARCELONA,BARCELONA,6,"0,6",22.0,"5,3","11,1",14:00,"23,6","21,8",23:00,"25,5",09:20
2017-07-26,0201D,BARCELONA,BARCELONA,6,"0,0",32.0,"3,3","10,3",03:30,"23,4","21,2",04:50,"25,5",10:40
2017-07-27,0201D,BARCELONA,BARCELONA,6,"0,0",21.0,"4,2","9,4",13:50,"24,6","21,5",05:00,"27,8",16:30
2017-07-28,0201D,BARCELONA,BARCELONA,6,"0,0",99.0,"3,1","7,5",Varias,"26,1","24,2",23:59,"28,0",11:00
2017-07-29,0201D,BARCELONA,BARCELONA,6,"0,0",13.0,"2,5","5,8",12:40,"25,8","22,8",04:50,"28,8",14:10
2017-07-30,0201D,BARCELONA,BARCELONA,6,"0,0",9.0,"3,1","7,8",15:20,"26,4","23,7",05:00,"29,1",11:50
2017-07-31,0201D,BARCELONA,BARCELONA,6,"0,0",9.0,"6,1","11,4",08:20,"25,6","24,2",04:00,"27,1",12:20
2017-08-01,0201D,BARCELONA,BARCELONA,6,"0,5",8.0,"6,4","10,3",03:20,"26,0","24,6",04:00,"27,5",12:50
2017-08-02,0201D,BARCELONA,BARCELONA,6,"0,0",10.0,"2,5","7,2",10:50,"27,9","24,5",05:00,"31,3",17:20
2017-08-03,0201D,BARCELONA,BARCELONA,6,"0,0",12.0,"3,6","10,0",08:50,"29,0","24,8",11:40,"33,3",08:30
2017-08-04,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,1","6,9",13:10,"28,0","25,3",01:00,"30,8",11:40
2017-08-05,0201D,BARCELONA,BARCELONA,6,"0,1",21.0,"4,7","10,8",13:50,"28,6","26,0",04:50,"31,3",14:50
2017-08-06,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,6","7,5",15:20,"27,1","25,3",20:50,"28,9",09:20
2017-08-07,0201D,BARCELONA,BARCELONA,6,"0,0",21.0,"4,4","10,8",13:30,"26,3","24,9",04:00,"27,7",15:10
2017-08-08,0201D,BARCELONA,BARCELONA,6,"2,8",8.0,"5,3","17,5",08:30,"24,8","22,5",23:59,"27,0",04:30
2017-08-09,0201D,BARCELONA,BARCELONA,6,"1,7",9.0,"4,7","10,8",16:30,,,,,
2017-08-10,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"4,7","12,5",16:10,"22,0","18,6",06:00,"25,3",12:00
2017-08-11,0201D,BARCELONA,BARCELONA,6,"0,0",12.0,"6,1","12,2",19:30,"21,8","19,0",06:40,"24,5",09:50
2017-08-12,0201D,BARCELONA,BARCELONA,6,"0,0",12.0,"3,9","9,2",10:20,"22,8","20,5",06:00,"25,1",09:40
2017-08-13,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,9","8,6",16:10,"23,4","20,2",05:00,"26,7",12:30
2017-08-14,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"4,4","9,7",11:30,"24,6","22,2",05:00,"27,0",09:00
2017-08-15,0201D,BARCELONA,BARCELONA,6,"0,0",10.0,"3,1","7,5",11:10,"24,8","21,7",05:30,"27,8",13:20
2017-08-16,0201D,BARCELONA,BARCELONA,6,"0,0",8.0,"3,6","8,9",02:20,"25,2","23,3",05:20,"27,1",14:50
2017-08-17,0201D,BARCELONA,BARCELONA,6,"0,0",20.0,"3,1","9,4",13:30,"25,6","23,0",05:20,"28,2",08:10
